codigo_barras,nombre,descripcion,categoria,unidad_medida,es_granel,precio_venta,precio_compra,stock_inicial
3229820782560,"Muesli Superfruits Raisins, cassis, cranberry, myrtille",Mélange biologique de céréales et de fruits,Mueslis aux fruits,pieza,0,37.5,26.25,89
5449000000996,Coca-Cola,,"Colas, pt:bebidas cafeína",pieza,0,0.99,0.69,42
3159470000120,CORN FLAKES,,Corn flakes,pieza,0,50.0,35.0,86
7622300441937,Queso crema Philadelphia original,,"Cheese spreads, Cream cheeses",pieza,0,15.0,10.5,57
8000500267035,Kinder Delice paquete individual,Pastelito con Cobertura a Base de Cacao con Relleno a Base de Leche,"en:Filled cakes, en:Chocolate soft cake",pieza,0,3.9,2.73,31
8410300349051,Caldo casero de pollo,,"Sopas, en:Liquid chicken broths",pieza,0,0.03,0.02,31
5050083739811,Spécial k,"Pétales de riz, blé complet et orge enrichis en vitamines et en minéraux","Pétales multicéréales, Nutriscort",pieza,0,75.0,52.5,36
8410376010701,Zero sin azúcares María,Galletas María sin azúcar,"Botanas, en:Galletas, en:Galletas María",pieza,0,140.0,98.0,29
0096619483556,organic GREEK YOGURT plain,,Greek-style yogurts,pieza,0,0.14,0.1,43
7622300744663,Original,Biscotti al cacao magro ripieni di crema (29 %) al gusto vaniglia,Biscotti al cacao ripieni di crema,pieza,0,22.0,15.4,25
3560070060252,Mozzarella,,"Pasteurized cheeses, Cow mozzarella",pieza,0,22.0,15.4,97
0894700010137,Greek Yogurt Nonfat Plain,Greek Yogurt,Greek-style yogurts,pieza,0,25.0,17.5,48
0633148100013,Tajín Clásico,,"en:Herbs and spices, en:Alimentos de origen vegetal, en:Alimentos y bebidas de origen vegetal, en:Condimentos, en:Especias, en:Groceries, en:Mexican Dinner Mixes, en:Mezcla de especias, en:Salsas, en:Salsas de chiles",pieza,0,14.2,9.94,82
8412600029343,Pan de molde 100% natural integral,,Wholemeal sliced breads,pieza,0,112.5,78.75,52
8076809523738,Collezione Lasagne Bolognesi,Lasagne Sheets,"Lasagna sheets, Dry durum wheat pasta",pieza,0,50.0,35.0,37
0072250037129,100% Whole Wheat Bread,,"Sliced breads, Wheat breads",pieza,0,2.0,1.4,100
